filename	enum	defaultf0floor	defaultf0ceiling	idx	character	case	minTime	maxTime	char_duration	boundary	syl_rhyme	syl_rhyme_minTime	syl_rhyme_maxTime	syl_rhyme_duration	rhyme	rhyme_minTime	rhyme_maxTime	rhyme_duration	f0min	f0max	f0min_time	f0max_time	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaN1B5	2	50.0	280.0	3	拿	Verb	0.65156	0.74591	0.09435	0	a	0.68099	0.74591	0.06492	a	0.68099	0.74591	0.06492	90.504	100.633	0.74591	0.68099	0.68099	0.68424	0.68748	0.69073	0.69397	0.69722	0.70047	0.70371	0.70696	0.7102	0.71345	0.7167	0.71994	0.72319	0.72643	0.72968	0.73293	0.73617	0.73942	0.74266	100.845	99.84	98.643	97.445	96.248	95.085	94.724	94.363	94.003	93.642	93.311	93.02	92.729	92.439	92.148	91.815	91.472	91.129	90.786	90.442
S2diaN1B5	3	50.0	280.0	4	了	Aspect	0.74591	0.8225	0.07659	0	o	0.77792	0.8225	0.04458	o	0.77792	0.8225	0.04458	90.725	91.254	0.77792	0.7913333730199531	0.77792	0.78015	0.78238	0.78461	0.78684	0.78906	0.79129	0.79352	0.79575	0.79798	0.80021	0.80244	0.80467	0.8069	0.80913	0.81136	0.81358	0.81581	0.81804	0.82027	90.557	90.726	90.896	91.065	91.235	91.212	91.165	91.118	91.071	91.024	90.977	90.933	90.901	90.87	90.838	90.806	90.775	90.743	90.725	90.725
S2diaN1B5	4	50.0	280.0	5	个	Classifier	0.8225	0.92479	0.10229	0	o	0.88873	0.92479	0.03606	o	0.90873	0.92479	0.01606	79.625	79.625	0.92479	0.90873	0.90873	0.90953	0.91034	0.91114	0.91194	0.91275	0.91355	0.91435	0.91515	0.91596	0.91676	0.91756	0.91837	0.91917	0.91997	0.92078	0.92158	0.92238	0.92318	0.92399	81.499	81.386	81.273	81.161	81.048	80.935	80.823	80.71	80.597	80.485	80.372	80.259	80.147	80.034	79.921	79.809	79.696	79.609	79.565	79.521
S2diaN1B5	5	50.0	280.0	6	篮	Object	0.92479	1.24402	0.31923	0	E	0.9616	1.24402	0.28242	E	0.9616	1.24402	0.28242	72.003	81.506	1.24402	0.9797159328389272	0.9616	0.97572	0.98984	1.00396	1.01808	1.03221	1.04633	1.06045	1.07457	1.08869	1.10281	1.11693	1.13105	1.14517	1.15929	1.17341	1.18754	1.20166	1.21578	1.2299	80.549	81.445	81.363	79.704	77.401	76.779	77.276	77.921	77.974	78.003	78.385	78.238	77.874	78.572	78.687	77.994	77.189	75.906	74.342	72.784
S2diaN1B5	6	50.0	280.0	7	子	Object(suffix)	1.24402	1.54024	0.29622	1	I	1.37258	1.54024	0.16766	I	1.37258	1.48024	0.10766	67.233	89.078	1.4770861678004537	1.37258	1.37258	1.37796	1.38335	1.38873	1.39411	1.39949	1.40488	1.41026	1.41564	1.42103	1.42641	1.43179	1.43718	1.44256	1.44794	1.45332	1.45871	1.46409	1.46947	1.47486	89.696	89.467	89.237	89.07	89.044	89.017	88.711	88.146	87.58	86.337	84.845	83.353	80.528	77.627	75.195	75.251	75.306	74.258	71.348	68.438
S2diaA5	0	90.0	450.0	1	小	Name(prefix)	0.31256	0.48917	0.17661	0	yaw	0.41246	0.48917	0.07671	yaw	0.42246	0.48917	0.06671	162.653	166.711	0.4516467966381585	0.48917	0.42246	0.4258	0.42913	0.43247	0.4358	0.43914	0.44247	0.44581	0.44914	0.45248	0.45581	0.45915	0.46249	0.46582	0.46916	0.47249	0.47583	0.47916	0.4825	0.48583	168.243	167.565	166.887	166.21	165.533	164.857	164.18	163.503	162.826	163.013	163.499	163.984	164.47	164.955	165.44	166.167	166.975	167.783	168.592	169.4
S2diaA5	1	90.0	450.0	2	英	Name	0.48917	0.59928	0.11011	0	yin	0.48917	0.59928	0.11011	yin	0.48917	0.59928	0.11011	170.409	177.599	0.48917	0.5692276914495352	0.48917	0.49468	0.50018	0.50569	0.51119	0.5167	0.5222	0.52771	0.53321	0.53872	0.54422	0.54973	0.55524	0.56074	0.56625	0.57175	0.57726	0.58276	0.58827	0.59377	170.208	170.479	170.562	170.645	170.865	171.582	172.299	173.016	173.556	173.969	174.381	174.794	175.544	176.31	177.077	177.314	176.42	175.525	174.63	173.62
S2diaA5	2	90.0	450.0	3	捏	Verb	0.59928	0.73866	0.13938	0	yE	0.6448	0.73866	0.09386	yE	0.6448	0.73866	0.09386	153.321	173.598	0.6711910608487769	0.7299460010747423	0.6448	0.64949	0.65419	0.65888	0.66357	0.66826	0.67296	0.67765	0.68234	0.68704	0.69173	0.69642	0.70112	0.70581	0.7105	0.7152	0.71989	0.72458	0.72927	0.73397	159.739	159.578	158.255	156.791	155.327	153.862	154.047	155.2	156.353	157.505	158.82	160.413	162.005	163.598	165.236	167.249	169.261	171.274	173.287	171.878
S2diaA5	3	90.0	450.0	4	了	Aspect	0.73866	0.79713	0.05847	0	o	0.76796	0.79713	0.02917	o	0.76796	0.79713	0.02917	184.591	196.413	0.79713	0.7745405470916015	0.76796	0.76942	0.77088	0.77234	0.77379	0.77525	0.77671	0.77817	0.77963	0.78109	0.78255	0.784	0.78546	0.78692	0.78838	0.78984	0.7913	0.79275	0.79421	0.79567	193.201	195.497	195.894	195.032	194.17	193.308	192.446	191.584	190.722	189.86	188.998	188.135	187.273	186.411	185.549	184.687	182.463	180.068	177.674	175.279
S2diaA5	4	90.0	450.0	5	个	Classifier	0.79713	0.89519	0.09806	0	o	0.84952	0.89519	0.04567	o	0.84952	0.89519	0.04567	117.777	134.634	0.888755128949265	0.84952	0.84952	0.8518	0.85409	0.85637	0.85865	0.86094	0.86322	0.8655	0.86779	0.87007	0.87235	0.87464	0.87692	0.87921	0.88149	0.88377	0.88606	0.88834	0.89062	0.89291	134.897	134.211	133.676	133.141	132.605	132.07	131.535	131.0	130.464	129.903	128.513	127.124	125.734	124.345	122.955	121.566	120.176	118.787	118.264	120.048
